	Number of Epoch	Training -Dist	Validation - Dist	Training Time(CPU time/s)	Validation Time(CPU time/s)
	600	50.57383	50.14158	37.26970	2.15293
	601	50.53246	50.26492	37.92828	2.12778
	602	50.54723	50.26708	38.03361	2.13592
	603	50.54942	50.20225	37.67348	2.16577
	604	50.53188	50.12617	37.18461	2.14764
	605	50.48050	50.18475	38.11860	2.14391
	606	50.46908	50.24200	37.11846	2.13790
	607	50.48087	50.18608	39.56563	2.17338
	608	50.46510	50.14467	37.43967	2.16649
	609	50.44998	50.16892	37.66122	2.14188
	610	50.43196	50.15175	37.14967	2.14844
	611	50.41535	50.17933	37.47709	2.17505
	612	50.41321	50.09092	37.43750	2.15420
	613	50.38490	50.11750	37.73313	2.17064
	614	50.36160	50.03508	37.25915	2.19982
	615	50.33633	50.11467	38.11807	2.18014
	616	50.32546	50.02792	37.72388	2.16123
	617	50.36825	50.03033	37.40308	2.19575
	618	50.30119	50.00775	37.34606	2.14081
	619	50.29679	50.02625	37.44446	2.17604
	620	50.35156	49.98017	37.91068	2.19686
	621	50.32713	50.02492	37.53390	2.15008
	622	50.30173	49.97817	37.31434	2.15538
	623	50.25117	50.03133	37.63394	2.17736
	624	50.25810	49.97967	37.77444	2.18385
	625	50.23492	50.05542	37.33561	2.16998
	626	50.24108	49.93067	37.48928	2.23007
	627	50.24325	49.93375	37.54200	2.14409
	628	50.23885	49.98883	37.47675	2.16746
	629	50.20456	50.01942	37.42479	2.18892
	630	50.19021	49.79717	37.21560	2.20312
	631	50.17550	49.80033	37.82679	2.14849
	632	50.17023	49.98625	37.49906	2.16388
	633	50.13763	49.75533	37.48825	2.30527
	634	50.13112	49.85083	37.66630	2.16286
	635	50.12608	49.79925	37.28080	2.13998
	636	50.09304	49.89908	37.46836	2.17208
	637	50.09617	49.84900	37.08046	2.12922
	638	50.07975	49.78233	37.34206	2.16572
	639	50.13119	49.73767	37.48594	2.16033
	640	50.09429	49.80017	37.31460	2.18645
	641	50.08285	49.81700	37.16874	2.17673
	642	50.06737	49.76767	37.31707	2.16445
	643	50.07040	49.79658	37.23066	2.17350
	644	50.03344	49.70025	37.15200	2.15617
	645	50.02783	49.72975	37.44444	2.20589
	646	50.02481	49.79025	37.96019	2.18853
	647	50.03771	49.75108	37.44503	2.17251
	648	49.99294	49.70867	37.42965	2.19170
	649	50.00248	49.62817	37.26833	2.15563
	650	50.01412	49.70508	37.90030	2.16058
	651	49.97121	49.64683	38.00970	2.29760
	652	49.96229	49.62883	38.21708	2.18979
	653	50.01219	49.68617	38.12565	2.19438
	654	49.94148	49.72833	40.03520	2.20907
	655	49.92498	49.63583	39.45127	2.17369
	656	49.88196	49.66667	37.87043	2.12239
	657	49.91323	49.66358	38.02848	2.15485
	658	49.94625	49.54017	37.57004	2.18784
	659	49.86450	49.56100	37.63013	2.16894
	660	49.90517	49.58042	37.67055	2.17561
	661	49.89229	49.53175	37.69309	2.15498
	662	49.86450	49.57125	37.53532	2.18483
	663	49.87862	49.61367	37.65453	2.16017
	664	49.87035	49.59800	39.51807	2.17232
	665	49.84400	49.55050	37.53869	2.17427
	666	49.83852	49.54767	38.43721	2.20138
	667	49.78167	49.48442	37.32024	2.16398
	668	49.79248	49.62592	37.47242	2.19583
	669	49.78146	49.50450	37.48713	2.09094
	670	49.81485	49.51392	37.41305	2.16146
	671	49.72704	49.53592	38.57251	2.13859
	672	49.77102	49.43083	46.53670	2.18261
	673	49.73448	49.45100	45.58365	2.05173
	674	49.70948	49.43858	42.58437	2.12519
	675	49.73775	49.46200	42.84091	2.15514
	676	49.73769	49.43475	38.61996	2.18500
	677	49.77669	49.43083	39.53150	2.14826
	678	49.67562	49.47392	39.15298	2.17128
	679	49.71083	49.41467	46.70261	2.37032
	680	49.68985	49.39658	43.76449	2.15261
	681	49.67244	49.39242	43.56404	2.11343
	682	49.68263	49.36250	43.66851	2.12784
	683	49.62892	49.32450	47.48304	2.43834
	684	49.62867	49.29917	41.97669	2.11917
	685	49.63004	49.37608	43.91584	2.15855
	686	49.64413	49.34717	44.83347	2.24896
	687	49.61810	49.30642	45.55960	2.06282
	688	49.57379	49.28642	53.17333	2.10514
	689	49.62317	49.34867	50.23915	2.16814
	690	49.58713	49.29300	44.85379	2.09529
	691	49.51033	49.20892	40.83496	2.07459
	692	49.55915	49.32150	42.37539	2.13839
	693	49.51677	49.25533	45.84712	2.14372
	694	49.56865	49.30000	40.99006	2.23543
	695	49.54006	49.25108	48.83010	2.06710
	696	49.51069	49.29458	58.60404	2.34230
	697	49.54540	49.20950	60.62076	2.51063
	698	49.46119	49.26617	61.87911	2.12220
	699	49.48035	49.17042	64.35063	2.21990
	700	49.47248	49.30283	47.63619	2.11291
	701	49.48948	49.16650	45.30919	2.10035
	702	49.40900	49.25950	42.48885	2.07502
	703	49.42804	49.13325	47.12403	2.11361
	704	49.44819	49.11850	44.77920	1.99914
	705	49.40577	49.06892	45.35808	2.11643
	706	49.39229	49.12317	43.70938	2.10595
	707	49.36846	49.09133	45.32584	2.10709
	708	49.40369	49.13200	43.73899	2.12254
	709	49.41044	49.13367	42.69947	2.16617
	710	49.35858	49.07717	43.21350	2.11285
	711	49.39533	49.02317	43.88603	2.11509
	712	49.40242	49.08800	45.75811	2.13314
	713	49.35875	49.11900	40.43099	2.19206
	714	49.35465	49.06717	38.89871	2.17242
	715	49.29779	49.07242	39.07015	2.15286
	716	49.32712	49.05442	38.55016	2.17569
	717	49.32033	49.12900	38.01282	2.12780
	718	49.32354	49.09675	38.59154	2.13643
	719	49.29013	49.09883	38.96452	2.16379
	720	49.32040	49.08375	38.38299	2.15565
	721	49.23281	48.97867	38.30650	2.16098
	722	49.28377	48.97933	38.10310	2.16155
	723	49.25917	49.07758	40.63579	2.16761
	724	49.27996	48.89367	38.58983	2.18900
	725	49.21948	48.94900	39.35215	2.17083
	726	49.23335	49.03900	38.40471	2.13667
	727	49.20146	48.98608	38.11064	2.16739
	728	49.18987	48.93658	38.00705	2.14718
	729	49.18062	48.92308	37.97222	2.10640
	730	49.17165	48.95408	38.29535	2.15545
	731	49.21637	48.96308	40.83119	2.13766
	732	49.18669	48.97908	38.12998	2.14206
	733	49.18831	48.88467	38.31573	2.16289
	734	49.15635	48.88117	38.28202	2.15973
	735	49.15352	48.82017	38.51137	2.15635
	736	49.14208	48.86592	38.22610	2.18131
	737	49.12725	48.85975	37.97314	2.14430
	738	49.12635	48.83592	38.25287	2.18750
	739	49.09194	48.80783	40.13573	2.17429
	740	49.09598	48.85500	39.53823	2.12355
	741	49.08831	48.89458	39.24948	2.16634
	742	49.10352	48.81408	40.04517	2.15651
	743	49.05302	48.87050	39.46924	2.20710
	744	49.05733	48.84658	38.20041	2.21595
	745	49.06256	48.84458	38.07211	2.18317
	746	49.05433	48.77950	39.46905	2.16699
	747	49.08969	48.71675	38.47664	2.15844
	748	49.06517	48.78008	38.11336	2.38154
	749	49.01775	48.79117	39.39341	2.16390
	750	48.98917	48.69358	42.83707	2.18701
	751	49.00558	48.74400	38.77737	2.18706
	752	48.99500	48.73317	38.71799	2.14388
	753	48.98835	48.75500	44.40512	2.19787
	754	48.98133	48.69717	39.76497	2.19110
	755	48.97079	48.73842	37.59920	2.20233
	756	49.00702	48.73167	37.39700	2.17225
	757	48.94433	48.68375	38.55139	2.18316
	758	48.94338	48.67733	37.63628	2.15391
	759	48.93196	48.69508	37.44023	2.19510
	760	48.92712	48.66700	37.60688	2.15542
	761	48.90869	48.70433	44.79365	2.35781
	762	48.91302	48.68400	45.17890	2.13817
	763	48.91404	48.65642	40.46168	2.17942
	764	48.93119	48.69250	41.57745	2.16524
	765	48.90000	48.63083	37.35062	2.16076
	766	48.86742	48.61733	39.39172	2.18736
	767	48.87787	48.66267	39.95541	2.18212
	768	48.87623	48.59958	39.69900	2.20037
	769	48.87892	48.56367	41.20600	2.16856
	770	48.87792	48.70325	40.55371	2.17117
	771	48.86602	48.57442	40.62307	2.18339
	772	48.80652	48.59992	40.96295	2.19347
	773	48.81856	48.62742	43.58196	2.11613
	774	48.81358	48.50992	39.42607	2.19213
	775	48.79267	48.61558	39.80876	2.14803
	776	48.77800	48.53592	37.70405	2.15863
	777	48.77252	48.57075	39.95537	2.14522
	778	48.80421	48.55525	38.12306	2.15725
	779	48.77358	48.48792	40.45550	2.17178
	780	48.76429	48.55150	44.19133	2.16670
	781	48.77421	48.46800	38.02203	2.17617
	782	48.76796	48.46658	38.32900	2.15845
	783	48.74915	48.43492	37.50253	2.17776
	784	48.72381	48.46075	38.02965	2.15838
	785	48.72896	48.47100	39.84068	2.21708
	786	48.73781	48.46125	39.63690	2.15204
	787	48.67742	48.44008	35.49170	2.16345
	788	48.67654	48.45483	34.75156	2.04326
	789	48.67437	48.47883	40.45839	2.17159
	790	48.70344	48.43733	35.21830	2.02138
	791	48.66300	48.42633	44.65040	2.08228
	792	48.64385	48.39858	46.21205	1.95560
	793	48.64679	48.39275	39.14130	2.28208
	794	48.63573	48.36558	38.35947	2.13799
	795	48.65796	48.34092	38.33189	2.21580
	796	48.64348	48.40083	38.41009	2.16706
	797	48.59358	48.34958	38.00393	2.14853
	798	48.59154	48.45825	38.59735	2.16442
	799	48.59567	48.37683	37.96336	2.17325
	800	48.56925	48.34050	38.91334	2.18548
	801	48.60462	48.44342	38.81881	2.16441
	802	48.55625	48.35517	38.17163	2.15300
	803	48.58654	48.38200	38.47272	2.16980
	804	48.62644	48.31533	37.97682	2.14622
	805	48.51850	48.29267	38.06149	2.13098
	806	48.54896	48.26758	38.46523	2.17082
	807	48.57629	48.39900	38.88623	2.16039
	808	48.60162	48.31308	38.56289	2.17306
	809	48.49279	48.35625	38.14961	2.13367
	810	48.50227	48.31692	38.28535	2.12927
	811	48.50883	48.25092	38.39747	2.12435
	812	48.53537	48.26667	38.00308	2.19473
	813	48.50744	48.31108	42.78065	2.29114
	814	48.46612	48.25917	39.80233	2.15217
	815	48.51969	48.15425	37.97205	2.15511
	816	48.46660	48.31517	38.23196	2.15666
	817	48.44246	48.19025	37.91418	2.16275
	818	48.45638	48.30792	38.23733	2.14785
	819	48.46713	48.25525	38.10984	2.10918
	820	48.46340	48.13992	37.96536	2.16425
	821	48.43935	48.16100	38.40485	2.12656
	822	48.41133	48.18883	37.97877	2.14969
	823	48.44896	48.23225	38.00651	2.17094
	824	48.45490	48.16100	37.98242	2.15230
	825	48.37631	48.23758	38.22130	2.16359
	826	48.38479	48.13542	38.19192	2.15367
	827	48.36794	48.11542	38.03526	2.17049
	828	48.35006	48.15900	38.02500	2.20196
	829	48.34994	48.21100	37.92687	2.17281
	830	48.37575	48.19325	37.79418	2.17817
	831	48.38002	48.16425	38.16052	2.15059
	832	48.36340	48.16575	37.88332	2.16785
	833	48.34019	48.11642	37.29763	2.17257
	834	48.33996	48.07858	37.10438	2.20229
	835	48.35996	48.12367	37.74356	2.19223
	836	48.30008	48.14433	37.18053	2.17360
	837	48.29869	48.07700	37.21293	2.14171
	838	48.29965	48.11333	37.83316	2.16026
	839	48.29087	48.07125	37.08643	2.18265
	840	48.32625	48.01942	37.83685	2.18177
	841	48.28460	48.08667	37.20339	2.20049
	842	48.29125	48.09600	37.37115	2.19190
	843	48.27158	48.05233	37.33976	2.10997
	844	48.26010	48.13008	37.26317	2.19988
	845	48.27331	48.00358	37.19106	2.19702
	846	48.21910	47.98333	37.45236	2.16042
	847	48.21506	48.00392	37.54525	2.14751
	848	48.24325	48.05233	37.76050	2.15600
	849	48.19198	47.99433	37.07583	2.14260
	850	48.24658	48.00475	37.14337	2.21887
	851	48.23856	47.94175	37.02669	2.16368
	852	48.21415	47.95400	39.05783	2.15028
	853	48.16788	47.99200	41.58064	2.24371
	854	48.17206	48.04283	37.52335	2.14828
	855	48.16567	47.93458	36.98688	2.14558
	856	48.16323	47.90092	37.02506	2.14838
	857	48.18812	47.92092	37.05052	2.19911
	858	48.15537	47.90317	37.44904	2.16978
	859	48.06833	47.93033	36.98087	2.14362
	860	48.15467	48.01392	37.32225	2.14350
	861	48.19433	47.87517	37.12169	2.18900
	862	48.14310	47.95183	38.08077	2.19743
	863	48.14250	47.96642	38.06185	2.16760
	864	48.09621	47.82192	37.29077	2.15574
	865	48.10213	47.89875	37.11287	2.16048
	866	48.09977	47.87442	37.11352	2.17386
	867	48.11810	47.83183	37.19249	2.19752
	868	48.15642	47.84450	37.13172	2.15651
	869	48.12365	47.88767	36.92734	2.15851
	870	48.11335	47.85192	37.11197	2.15167
	871	48.05042	47.81817	37.22954	2.13055
	872	48.06475	47.84200	37.28710	2.17553
	873	48.00881	47.76908	37.36329	2.17424
	874	48.02140	47.82083	37.44435	2.18261
	875	48.07702	47.78058	37.12245	2.15977
	876	48.03990	47.83858	37.03262	2.17291
	877	48.03758	47.81675	36.97246	2.20392
	878	48.06023	47.88050	37.24998	2.12367
	879	48.02558	47.85292	37.21409	2.16345
	880	47.99250	47.82150	37.42067	2.18815
	881	47.96165	47.74692	37.11890	2.16806
	882	48.03258	47.68333	37.16560	2.14479
	883	47.94417	47.70833	37.21807	2.15788
	884	47.94648	47.66725	36.99282	2.16896
	885	48.00521	47.71975	37.11899	2.14772
	886	47.95325	47.64858	37.44272	2.16133
	887	47.98025	47.68350	37.44457	2.19472
	888	47.93377	47.74625	37.18139	2.19445
	889	47.99300	47.67075	37.23445	2.16339
	890	47.93977	47.73567	37.36812	2.15011
	891	47.93481	47.76908	37.07846	2.15507
	892	47.90413	47.72808	37.19545	2.16646
	893	47.92185	47.72142	37.07975	2.14776
	894	47.90273	47.67375	37.44621	2.19212
	895	47.91413	47.61467	36.98300	2.14407
	896	47.89385	47.55550	37.18858	2.15420
	897	47.88242	47.68142	36.92277	2.14257
	898	47.88569	47.71767	36.95204	2.16263
	899	47.87135	47.71017	37.06924	2.15409
	900	47.90404	47.65625	37.01287	2.15725
	901	47.84194	47.69417	36.88400	2.18847
	902	47.83452	47.67383	37.24748	2.14654
	903	47.84698	47.70025	37.11735	2.18129
	904	47.80998	47.71717	37.05874	2.17580
	905	47.82229	47.56842	37.26609	2.15605
	906	47.79381	47.62142	37.01380	2.14184
	907	47.82108	47.56867	37.35889	2.14397
	908	47.85092	47.57750	37.15921	2.14808
	909	47.83277	47.55492	37.17767	2.16266
	910	47.79588	47.65083	37.19354	2.15542
	911	47.75927	47.61425	36.94448	2.13539
	912	47.77394	47.60650	37.03493	2.14561
	913	47.78204	47.54767	37.00689	2.15423
	914	47.80558	47.52350	37.36603	2.15131
	915	47.72650	47.60108	37.49238	2.16178
	916	47.72471	47.50975	37.24457	2.19805
	917	47.78404	47.53967	37.45761	2.18762
	918	47.76965	47.52392	37.18090	2.17405
	919	47.74400	47.50100	37.09570	2.17639
	920	47.81650	47.48408	37.38127	2.18193
	921	47.71769	47.48192	37.27318	2.16262
	922	47.72123	47.57742	37.41800	2.20516
	923	47.71808	47.45483	37.47809	2.17948
	924	47.73846	47.48825	37.23309	2.18754
	925	47.69379	47.47133	37.32902	2.17123
	926	47.71967	47.54192	37.34123	2.14952
	927	47.71215	47.55283	37.28707	2.16624
	928	47.67260	47.50267	37.28490	2.16713
	929	47.65667	47.44508	37.45910	2.19626
	930	47.67310	47.48100	37.23081	2.17430
	931	47.72869	47.46433	37.25131	2.18414
	932	47.66323	47.43367	37.56999	2.12939
	933	47.65044	47.47025	37.12431	2.20222
	934	47.66694	47.52417	37.10136	2.16310
	935	47.60883	47.42067	37.08896	2.20675
	936	47.62810	47.36408	37.13242	2.13820
	937	47.62517	47.42375	37.20465	2.17622
	938	47.60681	47.34317	37.06758	2.15311
	939	47.60310	47.44458	37.37509	2.13905
	940	47.66383	47.31433	37.35457	2.15578
	941	47.60273	47.33658	37.18051	2.14420
	942	47.61387	47.39250	37.01587	2.16098
	943	47.64715	47.35942	37.40625	2.16000
	944	47.61206	47.34308	37.11657	2.15619
	945	47.59633	47.35158	37.01361	2.16018
	946	47.56121	47.36333	37.14487	2.14240
	947	47.57690	47.31583	37.00264	2.15349
	948	47.51356	47.37650	37.08977	2.13576
	949	47.57150	47.36683	36.92107	2.16179
	950	47.52785	47.32642	36.87162	2.18241
	951	47.55419	47.38725	36.93229	2.14766
	952	47.51798	47.32867	36.98134	2.13870
	953	47.52240	47.19808	36.92228	2.13361
	954	47.49717	47.29725	37.04828	2.16309
	955	47.52583	47.32683	37.13881	2.21181
	956	47.49267	47.28850	37.16679	2.21194
	957	47.50221	47.24183	37.24949	2.16664
	958	47.50375	47.31008	37.34987	2.16032
	959	47.50848	47.30500	37.14380	2.19984
	960	47.48594	47.24125	37.31467	2.18685
	961	47.45452	47.27192	37.25986	2.16915
	962	47.50035	47.25825	37.27206	2.19425
	963	47.43046	47.31708	37.21848	2.22229
	964	47.47637	47.29333	37.15713	2.18168
	965	47.44696	47.23842	37.27479	2.17752
	966	47.47419	47.28108	37.11919	2.17675
	967	47.41244	47.16650	37.07922	2.16951
	968	47.39765	47.32292	37.12812	2.14016
	969	47.43356	47.19992	37.09602	2.15955
	970	47.43004	47.19150	37.05051	2.15544
	971	47.44710	47.25425	37.11282	2.13222
	972	47.41435	47.22592	37.07385	2.14588
	973	47.45527	47.18158	37.10827	2.14424
	974	47.42306	47.19792	37.03826	2.14151
	975	47.37046	47.17508	36.90664	2.15186
	976	47.38167	47.14233	37.05898	2.15449
	977	47.37915	47.23083	37.14422	2.15076
	978	47.38510	47.24467	37.05342	2.18376
	979	47.37260	47.13417	37.22300	2.18170
	980	47.39096	47.03825	37.03876	2.17192
	981	47.34667	47.09917	37.06143	2.15114
	982	47.35279	47.15092	37.06888	2.18116
	983	47.34819	47.19175	37.04853	2.15037
	984	47.35417	47.19742	37.17483	2.16939
	985	47.31025	47.13367	37.04298	2.14123
	986	47.35723	47.12933	37.11554	2.16529
	987	47.32396	47.11133	36.94229	2.17614
	988	47.28958	47.12042	37.18741	2.17643
	989	47.31960	47.08083	36.95888	2.12846
	990	47.31338	47.10033	37.11404	2.18279
	991	47.26958	47.13792	37.32505	2.16171
	992	47.28729	47.14192	37.23670	2.13987
	993	47.28281	47.12517	37.23907	2.17161
	994	47.29867	47.13967	37.40703	2.17666
	995	47.24031	47.04442	37.22082	2.16252
	996	47.30919	47.09875	37.11043	2.17391
	997	47.29883	47.04233	36.96736	2.18324
	998	47.19319	47.10333	37.12509	2.16565
	999	47.23567	47.05442	37.09001	2.18060
	1000	47.27821	47.08767	36.97565	2.17672
	1001	47.21529	47.04350	37.09937	2.16341
	1002	47.22194	47.07392	37.24083	2.15248
	1003	47.22133	47.06758	37.08721	2.17444
	1004	47.23894	47.04750	36.97669	2.17294
	1005	47.24787	46.91667	37.25573	2.15699
	1006	47.22158	47.04125	37.11862	2.15080
	1007	47.24294	47.05775	37.16142	2.14311
	1008	47.23569	46.98625	37.12871	2.14344
	1009	47.19160	46.97483	37.15406	2.15641
	1010	47.18219	46.85642	37.19907	2.16422
	1011	47.19094	46.91775	37.30297	2.52581
	1012	47.17633	46.99500	37.39687	2.16872
	1013	47.16594	47.03083	37.35040	2.12352
	1014	47.17431	46.95425	37.07551	2.13640
	1015	47.15054	46.95308	37.09915	2.15920
	1016	47.16817	46.89933	37.16117	2.14772
	1017	47.09208	46.95408	37.38955	2.14998
	1018	47.13181	46.83625	37.04188	2.16026
	1019	47.14846	46.93875	37.13043	2.21345
	1020	47.12425	46.99800	37.69713	2.15122
	1021	47.09419	46.88083	37.41022	2.16384
	1022	47.09921	46.94783	37.36633	2.17368
	1023	47.10402	46.92342	37.56669	2.17072
	1024	47.12158	46.88533	37.29083	2.18303
	1025	47.11194	46.93358	37.86081	2.14532
	1026	47.09387	46.90858	37.19505	2.15373
	1027	47.07723	46.85575	37.26917	2.17745
	1028	47.11604	46.94933	37.13730	2.18144
	1029	47.07158	46.98742	37.46281	2.13864
	1030	47.08227	46.84467	37.21342	2.19622
	1031	47.08398	46.86842	37.25102	2.15440
	1032	47.09269	46.86133	37.45465	2.17303
	1033	47.08635	46.80558	37.39736	2.15801
	1034	47.05815	46.86850	37.18044	2.15417
	1035	47.03898	46.82142	37.33701	2.17818
	1036	47.01800	46.91325	37.30181	2.16204
	1037	47.03706	46.86850	37.14308	2.17593
	1038	46.99556	46.84308	40.36786	2.14826
	1039	47.04079	46.81425	41.90049	2.17758
	1040	47.05473	46.77742	37.84267	2.17240
	1041	47.03644	46.86892	37.29568	2.15658
	1042	46.98400	46.87225	37.66317	2.14087
	1043	47.01087	46.89083	37.41529	2.16971
	1044	46.99590	46.78633	37.78614	2.12642
	1045	46.97290	46.82708	42.10225	2.25443
	1046	46.98177	46.81033	43.08988	2.19336
	1047	47.01273	46.79950	39.65909	2.13377
	1048	46.99635	46.79725	41.04481	2.35574
	1049	46.98904	46.74967	40.26180	2.15892
	1050	47.00331	46.82300	39.74358	2.14582
	1051	46.93383	46.75892	41.17155	2.16126
	1052	46.96394	46.79225	45.91919	2.24879
	1053	46.93142	46.78300	37.70291	2.19027
	1054	46.92423	46.75300	37.65242	2.14186
	1055	46.91640	46.72717	38.77190	2.19010
	1056	46.90654	46.76433	37.14673	2.14623
	1057	46.91327	46.81683	39.17711	2.14596
	1058	46.91306	46.71217	41.36337	2.18942
	1059	46.91375	46.77533	38.63959	2.16248
	1060	46.88598	46.72792	41.11319	2.08942
	1061	46.86312	46.75458	46.74646	2.19261
	1062	46.87387	46.75908	42.79684	2.10879
	1063	46.89808	46.71533	41.99521	2.10720
	1064	46.92688	46.71575	38.37363	2.13513
	1065	46.91465	46.67833	39.25646	2.11722
	1066	46.90179	46.76558	37.62442	2.18188
	1067	46.88323	46.69592	37.31005	2.15938
	1068	46.84644	46.56633	39.43393	2.52191
	1069	46.85625	46.65908	38.46676	2.13515
	1070	46.85627	46.67492	40.42644	2.14600
	1071	46.87690	46.63233	39.03810	2.16202
	1072	46.84535	46.64400	41.75206	2.17201
	1073	46.84794	46.71817	39.92849	2.18539
	1074	46.79579	46.56317	40.83921	2.21104
	1075	46.86550	46.77050	42.57429	2.16561
	1076	46.83221	46.59408	40.61827	2.15597
	1077	46.78710	46.63417	37.65244	2.17463
	1078	46.81021	46.59708	44.07721	2.16777
	1079	46.81304	46.58808	41.65439	2.09349
	1080	46.81088	46.61725	39.82564	2.15832
	1081	46.79552	46.68742	37.35567	2.14631
	1082	46.76200	46.64100	37.66666	2.16181
	1083	46.83525	46.60833	38.13110	2.16658
	1084	46.81221	46.58083	37.89999	2.16770
	1085	46.74390	46.54700	39.73509	2.13588
	1086	46.77621	46.67458	39.83249	2.17644
	1087	46.80725	46.56817	37.30077	2.10625
	1088	46.76806	46.60492	39.89955	2.14655
	1089	46.77125	46.56650	38.31594	2.31566
	1090	46.76996	46.61083	38.07127	2.13914
	1091	46.79917	46.59692	38.13464	2.24029
	1092	46.74038	46.57650	40.25501	2.19517
	1093	46.76637	46.48858	37.49825	2.18795
	1094	46.73254	46.51133	37.50368	2.16790
	1095	46.75715	46.61275	37.73844	2.15069
	1096	46.73792	46.55608	39.01821	2.15666
	1097	46.73085	46.54092	38.40022	2.17056
	1098	46.68581	46.59800	37.64939	2.15296
	1099	46.70725	46.57433	37.40377	2.15943
	1100	46.71040	46.58658	37.36660	2.17072
	1101	46.65521	46.52800	37.32654	2.15174
	1102	46.73004	46.45808	37.15490	2.19340
	1103	46.73429	46.47100	38.51378	2.17876
	1104	46.68669	46.43425	37.42101	2.16107
	1105	46.72010	46.39933	37.17520	2.17925
	1106	46.66833	46.47617	38.98172	2.20175
	1107	46.67292	46.49400	40.30137	2.23525
	1108	46.65381	46.50158	38.01469	2.21028
	1109	46.66306	46.55817	38.14001	2.13872
	1110	46.63658	46.39858	37.44279	2.14713
	1111	46.60898	46.43867	42.73890	2.20082
	1112	46.59467	46.46333	44.52872	2.16995
	1113	46.63327	46.50642	41.86041	2.15717
	1114	46.64429	46.50225	38.90925	2.16126
	1115	46.60944	46.47050	37.96242	2.20676
	1116	46.61373	46.48075	37.78779	2.12352
	1117	46.60785	46.50050	37.16965	2.14610
	1118	46.60502	46.46467	37.15952	2.15032
	1119	46.60710	46.46025	37.44928	2.13168
	1120	46.61719	46.42258	37.25867	2.16534
	1121	46.60762	46.40650	37.80571	2.15595
	1122	46.56050	46.42408	38.66607	2.14299
	1123	46.64181	46.38700	38.52905	2.21825
	1124	46.56310	46.42267	43.51868	2.17610
	1125	46.59871	46.41925	41.89962	2.15234
	1126	46.58165	46.41333	38.81140	2.16769
	1127	46.57104	46.40350	38.65377	2.16885
	1128	46.54808	46.50075	39.00358	2.15526
	1129	46.54271	46.38292	37.42231	2.23157
	1130	46.56227	46.36267	37.99407	2.15700
	1131	46.59444	46.44408	41.74718	2.26942
	1132	46.54598	46.26500	39.60803	2.15725
	1133	46.54146	46.35333	39.11904	2.14440
	1134	46.53448	46.43517	39.25384	2.44169
	1135	46.53098	46.27258	37.62651	2.15834
	1136	46.54646	46.44167	38.25291	2.15673
	1137	46.48815	46.37292	38.33251	2.21084
	1138	46.54010	46.37275	37.52819	2.12583
	1139	46.53979	46.31358	37.35975	2.15373
	1140	46.54721	46.36533	39.46914	2.18601
	1141	46.48894	46.41100	37.46250	2.34316
	1142	46.50275	46.38700	39.32252	2.16808
	1143	46.48485	46.33058	36.95272	2.18015
	1144	46.52719	46.23975	40.32744	2.18545
	1145	46.46762	46.36367	42.27553	2.16630
	1146	46.47273	46.36050	37.88129	2.15259
	1147	46.45329	46.34192	39.85747	2.16255
	1148	46.42871	46.26983	38.57329	2.15683
	1149	46.45992	46.33575	37.51756	2.16923
	1150	46.48667	46.31967	37.75009	2.14739
	1151	46.49106	46.27633	38.36870	2.19198
	1152	46.44542	46.21675	37.87182	2.15892
	1153	46.46144	46.34017	37.39231	2.16760
	1154	46.47344	46.33342	37.82253	2.15870
	1155	46.44602	46.27200	39.13241	2.17318
	1156	46.38635	46.27883	37.54424	2.16917
	1157	46.45527	46.26883	39.28639	2.16525
	1158	46.40617	46.25992	37.42692	2.16982
	1159	46.43844	46.18725	37.06545	2.16323
	1160	46.39400	46.30350	37.63354	2.17483
	1161	46.37385	46.21425	38.48207	2.15637
	1162	46.39838	46.31625	37.51844	2.17117
	1163	46.43048	46.16892	37.45042	2.15657
	1164	46.38140	46.24525	39.57910	2.16171
	1165	46.39467	46.26333	37.60502	2.15176
	1166	46.34954	46.16975	39.23903	2.17373
	1167	46.35744	46.24275	38.80717	2.15471
	1168	46.36598	46.20033	37.59653	2.15387
	1169	46.40671	46.22833	37.09182	2.16529
	1170	46.37992	46.23608	37.54457	2.15268
	1171	46.37573	46.28058	37.46779	2.15886
	1172	46.40042	46.19983	39.88177	2.11950
	1173	46.34338	46.17758	37.69071	2.16919
	1174	46.39150	46.31275	40.36294	2.24234
	1175	46.39317	46.21858	38.23630	2.18790
	1176	46.38075	46.30325	37.77916	2.13845
	1177	46.30704	46.18525	38.51544	2.08334
	1178	46.35623	46.13425	42.54448	2.23514
	1179	46.32448	46.16767	39.25348	2.12092
	1180	46.29760	46.15283	37.49190	2.14029
	1181	46.34021	46.15233	38.97057	2.36888
	1182	46.35269	46.13883	41.65354	2.15851
	1183	46.33500	46.17400	39.50288	2.13980
	1184	46.30117	46.19608	37.63930	2.17449
	1185	46.29073	46.18667	37.84796	2.16962
	1186	46.34019	46.13567	45.24412	2.21757
	1187	46.29427	46.10558	45.21701	2.26634
	1188	46.27750	46.16950	45.67066	2.27810
	1189	46.22365	46.16867	37.69653	2.15426
	1190	46.26313	46.21250	37.46697	2.09699
	1191	46.29485	46.08908	41.54900	2.15514
	1192	46.26498	46.09558	39.47251	2.16592
	1193	46.25333	46.17217	37.95590	2.19363
	1194	46.19946	46.07783	46.34874	2.46483
	1195	46.25221	45.97642	52.28860	2.44620
	1196	46.21342	46.02125	43.12097	2.16324
