	Number of Epoch	Training -Dist	Validation - Dist	Training Time(CPU time/s)	Validation Time(CPU time/s)
	137	64.54188	63.94517	38.31400	2.18509
	138	64.46254	63.83700	40.55605	2.17734
	139	64.40044	63.74558	39.04925	2.24148
	140	64.23967	63.55858	38.36308	2.18113
	141	64.13160	63.68517	38.03081	2.16359
	142	64.05137	63.53908	39.64678	2.16672
	143	64.00333	63.43333	38.37088	2.15274
	144	63.93210	63.38292	38.18380	2.17296
	145	63.86510	63.16133	38.08264	2.16901
	146	63.79329	63.15192	40.85539	2.15106
	147	63.64108	63.15625	40.09188	2.18392
	148	63.63606	62.98100	38.30974	2.18954
	149	63.49975	63.01900	38.67750	2.17656
	150	63.45775	62.88417	38.62516	2.16197
	151	63.35213	62.80858	38.43987	2.18785
	152	63.26971	62.70033	38.27403	2.17732
	153	63.19873	62.51658	38.16458	2.14468
	154	63.16048	62.50117	40.04972	2.16810
	155	63.04542	62.40908	38.95639	2.18031
	156	62.97225	62.32858	38.41882	2.16719
	157	62.86898	62.33483	38.14938	2.18059
	158	62.82231	62.23650	39.57524	2.21125
	159	62.73852	62.23942	40.04907	2.17392
	160	62.65015	62.05283	37.78419	2.15340
	161	62.60090	62.10050	38.17966	2.17782
	162	62.49990	61.99717	37.89688	2.17321
	163	62.44033	61.85550	37.79941	2.18594
	164	62.39863	61.88517	37.50014	2.17862
	165	62.35065	61.84800	37.59859	2.17194
	166	62.22142	61.80675	37.74715	2.19701
	167	62.18265	61.61267	37.57840	2.15129
	168	62.13079	61.54808	37.56228	2.14910
	169	62.09810	61.63992	37.24869	2.16578
	170	61.97075	61.42408	37.25035	2.22165
	171	61.92762	61.36300	37.78668	2.16959
	172	61.87415	61.31317	37.64363	2.15465
	173	61.77456	61.31417	38.03460	2.18102
	174	61.67008	61.23733	37.46153	2.16476
	175	61.64698	61.12383	37.74091	2.17173
	176	61.57544	60.96833	37.65564	2.17211
	177	61.51802	60.96767	37.77716	2.18897
	178	61.47669	60.95775	37.57957	2.07468
	179	61.38727	60.79158	41.09652	2.24093
	180	61.37515	60.74142	38.23784	2.19767
	181	61.26531	60.77458	37.36098	2.14182
	182	61.22715	60.65267	37.49475	2.17773
	183	61.18912	60.72167	37.69547	2.16947
	184	61.11835	60.67658	37.68715	2.16762
	185	61.03125	60.49908	37.72915	2.17733
	186	60.99915	60.45800	38.44250	2.15488
	187	60.92906	60.50833	41.11092	2.15677
	188	60.88452	60.33858	38.07618	2.15844
	189	60.82571	60.37500	38.27141	2.19193
	190	60.74887	60.24075	37.56019	2.14107
	191	60.68017	60.16850	38.00379	2.14511
	192	60.68921	60.15208	40.73765	2.15209
	193	60.59010	60.05292	42.43425	2.26686
	194	60.52525	60.06192	44.38992	2.20944
	195	60.48213	59.83800	39.62862	2.18249
	196	60.40152	59.86433	37.95514	2.17644
	197	60.35721	59.77175	38.16703	2.16001
	198	60.30392	59.86917	38.25893	2.17640
